Year,Time,Home Team,Home Score,Away Score,Away Team,Odd 1,Odd X,Odd 2
2021,19:00,Fortaleza,0,3,Flamengo RJ,+202,+216,+146
2021,16:30,Atletico-MG,3,1,Ceara,-204,+299,+637
2021,16:30,Fluminense,0,0,Atletico GO,-109,+215,+362
2021,16:30,Sport Recife,1,0,Corinthians,+308,+187,+117
2021,18:30,Sao Paulo,1,1,Santos,-141,+257,+433
2021,21:30,Fluminense,0,2,Fortaleza,+138,+208,+218
2021,21:30,America MG,2,1,Palmeiras,+169,+208,+177
2021,21:30,Gremio,2,2,Cuiaba,-189,+273,+613
2021,20:30,Bragantino,1,1,Flamengo RJ,+215,+234,+127
2021,19:00,Atletico GO,0,2,Athletico-PR,+167,+192,+191
2021,19:00,Ceara,0,0,Internacional,+142,+195,+224
2021,19:00,Chapecoense-SC,2,2,Atletico-MG,+632,+321,-217
2021,19:00,Sport Recife,3,1,Juventude,+150,+177,+237
2021,21:30,Corinthians,3,1,Bahia,-159,+256,+512
2021,20:30,Gremio,1,2,Sport Recife,-227,+313,+727
2021,18:15,Palmeiras,1,1,Juventude,-244,+336,+721
2021,16:00,Chapecoense-SC,1,1,Sao Paulo,+333,+236,-111
2021,16:00,Flamengo RJ,3,0,Athletico-PR,-500,+571,+1139
2021,21:00,Atletico-MG,1,0,Internacional,-172,+299,+491
2021,19:00,Bragantino,2,2,Corinthians,+189,+200,+168
2021,17:00,Cuiaba,0,2,America MG,+187,+198,+170
2021,17:00,Fortaleza,0,3,Atletico GO,-161,+280,+480
2021,20:30,Atletico GO,0,0,Cuiaba,+134,+189,+250
2021,18:15,Athletico-PR,4,2,Gremio,+204,+200,+152
2021,18:15,Sport Recife,0,1,Fortaleza,+291,+213,+108
2021,16:00,Juventude,3,0,Santos,+190,+196,+168
2021,16:00,Fluminense,2,1,Bragantino,-135,+250,+405
2021,16:00,Internacional,2,0,Bahia,-135,+263,+382
2021,11:00,America MG,1,1,Flamengo RJ,+273,+246,+100
2021,21:00,Sao Paulo,0,0,Atletico-MG,+242,+206,+129
2021,19:00,Corinthians,2,1,Palmeiras,+217,+198,+150
2021,17:00,Ceara,1,0,Chapecoense-SC,-125,+243,+391
2021,20:30,Sao Paulo,0,0,America MG,+104,+229,+283
2021,20:00,Cuiaba,2,2,Fluminense,+237,+184,+148
2021,20:30,Flamengo RJ,0,1,Gremio,-217,+330,+601
2021,18:15,Corinthians,1,1,America MG,+100,+216,+316
2021,16:00,Sao Paulo,2,1,Atletico GO,-169,+289,+513
2021,11:00,Internacional,1,0,Fortaleza,+102,+236,+279
2021,21:00,Bahia,1,1,Bragantino,+136,+225,+209
2021,21:00,Ceara,0,0,Santos,+129,+204,+245
2021,19:00,Atletico-MG,3,0,Sport Recife,-385,+434,+1184
2021,18:45,Athletico-PR,2,1,Juventude,+108,+208,+295
2021,17:00,Chapecoense-SC,0,2,Palmeiras,+480,+293,-169
2021,20:00,Sport Recife,0,1,Internacional,+270,+209,+116
2021,20:30,Fluminense,2,1,Sao Paulo,+221,+197,+145
2021,18:15,Atletico GO,1,1,Corinthians,+208,+179,+170
2021,16:00,Fortaleza,0,2,Atletico-MG,+225,+210,+139
2021,16:00,Palmeiras,1,3,Flamengo RJ,+133,+249,+198
2021,11:00,Gremio,2,0,Ceara,+110,+214,+287
2021,21:00,Santos,0,0,Bahia,+129,+225,+225
2021,19:00,Bragantino,1,2,Chapecoense-SC,-169,+293,+484
2021,17:00,Juventude,1,2,Cuiaba,+140,+186,+249
2021,16:00,America MG,2,0,Athletico-PR,+142,+216,+209
2021,21:30,Chapecoense-SC,1,2,Fluminense,+319,+214,+100
2021,21:30,Corinthians,1,1,Juventude,-161,+231,+612
2021,18:15,Athletico-PR,0,0,Sport Recife,-154,+252,+488
2021,21:00,Bahia,4,2,Fortaleza,+197,+213,+152
2021,21:00,Cuiaba,2,1,Santos,+161,+200,+193
2021,19:00,Fluminense,1,1,Juventude,-116,+214,+399
2021,21:30,Fortaleza,0,0,Cuiaba,-164,+263,+530
2021,19:00,Fluminense,2,0,Bahia,+110,+219,+276
2021,20:30,Bragantino,1,1,Atletico-MG,+270,+233,+106
2021,18:15,Atletico GO,0,0,Internacional,+274,+229,+106
2021,16:00,Juventude,1,1,Sao Paulo,+344,+202,+102
2021,11:00,America MG,2,0,Ceara,+154,+198,+210
2021,21:00,Gremio,0,1,Corinthians,+123,+194,+279
2021,21:00,Palmeiras,2,1,Athletico-PR,-159,+293,+434
2021,19:00,Santos,0,4,Flamengo RJ,+478,+355,-196
2021,17:00,Sport Recife,0,0,Chapecoense-SC,-102,+220,+326
2021,20:00,America MG,0,2,Bragantino,+208,+221,+138
2021,20:00,Fluminense,1,1,Atletico-MG,+329,+223,-104
2021,20:30,Sport Recife,0,1,Sao Paulo,+376,+219,-114
2021,18:15,Santos,2,2,Internacional,+250,+215,+123
2021,16:00,Athletico-PR,0,1,Corinthians,+149,+202,+213
2021,16:00,Ceara,1,1,Flamengo RJ,+330,+267,-123
2021,11:00,Palmeiras,0,2,Cuiaba,-213,+313,+659
2021,21:00,Juventude,1,1,Fortaleza,+284,+198,+118
2021,19:00,Gremio,2,0,Bahia,-108,+231,+321
2021,17:00,Atletico GO,1,1,Chapecoense-SC,-119,+229,+382
2021,19:00,Cuiaba,0,1,Gremio,+231,+204,+134
2021,20:00,Chapecoense-SC,1,1,America MG,+257,+221,+114
2021,20:30,Internacional,4,2,Fluminense,-109,+222,+342
2021,18:15,Bahia,1,2,Atletico GO,+102,+227,+283
2021,18:15,Cuiaba,1,0,Athletico-PR,+127,+210,+244
2021,18:15,Fortaleza,1,1,Santos,-122,+247,+362
2021,16:00,Corinthians,3,1,Ceara,+124,+197,+268
2021,16:00,Flamengo RJ,2,0,Sport Recife,-333,+448,+873
2021,21:00,Sao Paulo,2,1,Gremio,+136,+195,+239
2021,19:00,Atletico-MG,2,0,Palmeiras,+108,+227,+269
2021,17:00,Bragantino,1,2,Juventude,-116,+227,+379
2021,20:00,Gremio,2,1,Chapecoense-SC,-213,+293,+706
2021,18:15,Ceara,0,0,Atletico GO,-130,+242,+399
2021,18:15,Flamengo RJ,0,4,Internacional,-217,+334,+625
2021,16:00,America MG,1,0,Fluminense,+186,+194,+173
2021,16:00,Juventude,1,2,Atletico-MG,+322,+204,+104
2021,16:00,Santos,0,0,Corinthians,+168,+195,+194
2021,21:00,Cuiaba,1,1,Bahia,+148,+202,+211
2021,21:00,Palmeiras,2,3,Fortaleza,-141,+250,+434
2021,18:00,Athletico-PR,1,2,Sao Paulo,+181,+200,+171
2021,19:00,Sport Recife,0,0,Bragantino,+248,+198,+133
2021,20:30,Atletico GO,1,1,America MG,+152,+200,+208
2021,20:30,Ceara,3,1,Fortaleza,+229,+188,+147
2021,18:15,Bahia,0,1,Sport Recife,-119,+238,+361
2021,18:15,Chapecoense-SC,0,1,Santos,+256,+225,+112
2021,16:00,Atletico-MG,2,0,Athletico-PR,-147,+260,+451
2021,16:00,Corinthians,1,3,Flamengo RJ,+398,+274,-141
2021,21:00,Bragantino,1,0,Gremio,+102,+229,+294
2021,20:00,Internacional,0,0,Cuiaba,-141,+238,+478
2021,19:00,Sao Paulo,0,0,Palmeiras,+187,+197,+172
2021,20:00,Cuiaba,1,2,Corinthians,+213,+179,+165
2021,18:00,Juventude,1,0,Chapecoense-SC,+121,+195,+281
2021,20:30,Sport Recife,0,0,Ceara,+249,+191,+136
2021,18:15,Athletico-PR,2,1,Internacional,+147,+211,+202
2021,18:15,Santos,0,1,Atletico GO,-123,+235,+390
2021,16:00,Flamengo RJ,5,1,Sao Paulo,-164,+287,+476
2021,16:00,Fortaleza,1,0,Bragantino,+172,+208,+177
2021,11:00,Atletico-MG,3,0,Bahia,-154,+281,+445
2021,19:00,Palmeiras,1,0,Fluminense,-169,+268,+547
2021,17:00,Gremio,1,1,America MG,-110,+233,+333
2021,19:00,Cuiaba,2,1,Atletico GO,+154,+193,+212
2021,20:00,America MG,0,1,Sport Recife,-137,+231,+459
2021,20:30,Bragantino,2,2,Santos,-115,+254,+322
2021,20:30,Internacional,1,0,Juventude,-139,+235,+472
2021,18:15,Bahia,0,5,Flamengo RJ,+417,+286,-154
2021,16:00,Atletico GO,0,3,Palmeiras,+313,+239,-108
2021,11:00,Chapecoense-SC,2,3,Cuiaba,+154,+195,+209
2021,21:00,Fluminense,0,1,Gremio,+165,+198,+192
2021,19:00,Corinthians,1,2,Atletico-MG,+168,+199,+191
2021,17:00,Ceara,1,0,Athletico-PR,+102,+223,+298
2021,17:00,Sao Paulo,0,1,Fortaleza,+112,+200,+292
2021,20:30,Fortaleza,1,0,Corinthians,+134,+200,+244
2021,18:15,Cuiaba,2,2,Ceara,+190,+186,+181
2021,18:15,Flamengo RJ,2,1,Chapecoense-SC,-500,+544,+1544
2021,11:00,Juventude,1,1,Atletico GO,+156,+190,+217
2021,19:00,America MG,0,1,Atletico-MG,+305,+225,+100
2021,19:00,Sao Paulo,1,0,Bahia,-112,+238,+336
2021,19:00,Sport Recife,1,2,Fluminense,+175,+190,+192
2021,17:30,Athletico-PR,2,2,Bragantino,+156,+222,+189
2021,16:30,Gremio,0,0,Internacional,+133,+204,+242
2021,16:30,Palmeiras,3,2,Santos,-185,+301,+576
2021,21:00,Chapecoense-SC,0,1,Corinthians,+330,+213,-102
2021,21:30,Fluminense,0,0,Ceara,+125,+200,+262
2021,21:30,Internacional,0,2,Sao Paulo,+179,+204,+172
2021,19:15,Atletico GO,1,1,Sport Recife,-109,+215,+359
2021,19:00,Atletico-MG,2,1,Flamengo RJ,+197,+219,+147
2021,19:00,Palmeiras,2,0,Gremio,-101,+235,+291
2021,18:00,Bahia,1,0,Juventude,-135,+245,+417
2021,18:00,Bragantino,1,1,Cuiaba,-159,+266,+492
2021,18:00,Fortaleza,4,0,America MG,-119,+237,+363
2021,19:30,Santos,2,1,Athletico-PR,+164,+202,+187
2021,20:30,Gremio,0,1,Atletico GO,-189,+300,+558
2021,18:15,Ceara,2,0,Juventude,-114,+225,+363
2021,18:15,Cuiaba,0,1,Atletico-MG,+355,+224,-111
2021,18:15,Sao Paulo,1,2,Bragantino,+127,+210,+241
2021,16:00,Flamengo RJ,0,1,Fluminense,-132,+245,+405
2021,16:00,Sport Recife,0,1,Palmeiras,+345,+239,-115
2021,11:00,Chapecoense-SC,0,2,Bahia,+220,+223,+131
2021,21:00,Corinthians,1,1,Internacional,+145,+197,+225
2021,19:00,America MG,2,0,Santos,+121,+214,+250
2021,19:00,Athletico-PR,2,1,Fortaleza,+108,+212,+290
2021,20:00,Cuiaba,0,2,Flamengo RJ,+511,+278,-169
2021,19:00,Atletico-MG,4,1,Atletico GO,-133,+242,+426
2021,16:00,Bragantino,0,0,Ceara,-164,+281,+465
2021,21:30,Corinthians,0,0,Sao Paulo,+213,+189,+158
2021,21:30,Juventude,2,0,Gremio,+362,+220,-111
2021,20:30,Santos,0,0,Sport Recife,-147,+241,+492
2021,19:00,Bahia,3,4,America MG,+110,+214,+278
2021,19:00,Internacional,1,2,Palmeiras,+160,+215,+184
2021,16:00,Fluminense,1,4,Athletico-PR,+145,+194,+225
2021,16:00,Fortaleza,3,2,Chapecoense-SC,-200,+305,+593
2021,20:00,Atletico GO,0,1,Bragantino,+239,+223,+121
2021,20:30,America MG,1,1,Internacional,+175,+198,+181
2021,20:30,Ceara,1,1,Sao Paulo,+175,+210,+173
2021,20:30,Santos,2,0,Atletico-MG,+189,+215,+154
2021,20:30,Sport Recife,0,0,Cuiaba,+133,+195,+249
2021,20:00,Athletico-PR,2,2,Chapecoense-SC,-175,+260,+615
2021,20:00,Gremio,0,0,Fortaleza,-104,+219,+333
2021,20:00,Palmeiras,3,2,Bahia,-161,+276,+471
2021,16:00,Fluminense,1,1,Corinthians,+150,+186,+227
2021,11:00,Juventude,1,0,Flamengo RJ,+629,+307,-208
2021,21:30,Bahia,2,1,Athletico-PR,+162,+189,+206
2021,21:30,Gremio,2,2,Santos,+102,+210,+315
2021,19:00,Ceara,2,1,Atletico-MG,+229,+224,+125
2021,19:00,Chapecoense-SC,1,2,Internacional,+325,+225,-105
2021,19:00,Corinthians,2,1,Sport Recife,-137,+240,+442
2021,16:00,America MG,1,1,Juventude,-130,+225,+434
2021,19:00,Atletico GO,1,0,Fluminense,+175,+193,+185
2021,19:00,Bragantino,3,1,Palmeiras,+156,+220,+183
2021,19:00,Flamengo RJ,2,1,Fortaleza,-222,+322,+667
2021,19:00,Sao Paulo,2,2,Cuiaba,-189,+287,+611
2021,20:00,Atletico-MG,1,1,Chapecoense-SC,-357,+455,+942
2021,20:30,Juventude,1,0,Sport Recife,+144,+196,+225
2021,18:15,Athletico-PR,2,1,Atletico GO,+102,+202,+336
2021,18:15,Fortaleza,1,1,Fluminense,+136,+196,+242
2021,18:15,Santos,2,0,Sao Paulo,+209,+213,+143
2021,16:00,Bahia,0,0,Corinthians,+134,+208,+229
2021,16:00,Internacional,1,1,Ceara,-149,+256,+462
2021,11:00,Palmeiras,2,1,America MG,-172,+280,+520
2021,21:00,Flamengo RJ,2,3,Bragantino,-156,+281,+449
2021,19:00,Atletico GO,0,0,Fortaleza,+152,+185,+225
2021,19:00,Fluminense,1,0,Santos,+108,+216,+288
2021,19:00,Sport Recife,1,0,Gremio,+346,+244,-118
2021,16:00,America MG,0,0,Cuiaba,-104,+210,+346
2021,16:00,Ceara,1,2,Bahia,+150,+204,+204
2021,21:30,Juventude,0,3,Palmeiras,+417,+243,-133
2021,20:30,Corinthians,1,2,Bragantino,+152,+199,+210
2021,19:00,Internacional,0,1,Atletico-MG,+154,+216,+189
2021,19:00,Sao Paulo,1,1,Chapecoense-SC,-286,+394,+788
2021,20:30,Bahia,0,1,Internacional,+154,+223,+183
2021,20:30,Bragantino,2,2,Fluminense,-102,+229,+308
2021,20:30,Chapecoense-SC,0,0,Ceara,+222,+211,+138
2021,20:30,Fortaleza,1,0,Sport Recife,-147,+254,+471
2021,16:00,Atletico-MG,1,0,Sao Paulo,+112,+221,+267
2021,16:00,Flamengo RJ,2,0,America MG,-200,+313,+582
2021,16:00,Gremio,0,1,Athletico-PR,-122,+229,+393
2021,19:00,Palmeiras,1,1,Corinthians,-112,+236,+337
2021,19:00,Santos,0,0,Juventude,-159,+279,+461
2021,20:30,Sport Recife,0,1,Atletico-MG,+324,+237,-109
2021,18:15,Juventude,0,3,Athletico-PR,+183,+197,+171
2021,18:15,Palmeiras,3,1,Chapecoense-SC,-270,+363,+791
2021,16:00,America MG,0,1,Corinthians,+110,+210,+289
2021,16:00,Fortaleza,5,1,Internacional,+164,+200,+193
2021,11:00,Fluminense,1,0,Cuiaba,-141,+250,+440
2021,21:00,Bragantino,3,3,Bahia,-106,+235,+305
2021,21:00,Santos,3,1,Ceara,-104,+235,+303
2021,19:00,Atletico GO,2,0,Sao Paulo,+242,+189,+140
2021,20:30,Internacional,2,2,Sport Recife,-303,+409,+868
2021,18:15,Athletico-PR,1,0,America MG,+143,+202,+220
2021,18:15,Chapecoense-SC,0,3,Bragantino,+296,+225,+102
2021,18:15,Corinthians,0,1,Atletico GO,+100,+227,+298
2021,16:00,Ceara,3,2,Gremio,+267,+215,+117
2021,16:00,Flamengo RJ,1,0,Palmeiras,-122,+257,+337
2021,11:00,Atletico-MG,1,2,Fortaleza,-213,+318,+608
2021,21:00,Sao Paulo,0,0,Fluminense,-111,+221,+363
2021,20:00,Bahia,3,0,Santos,+137,+221,+212
2021,19:00,Cuiaba,2,2,Juventude,+121,+211,+254
2022,16:00,America MG,1,1,Atletico GO,-169,+330,+421
2022,16:00,Athletico-PR,3,0,Botafogo RJ,+118,+227,+245
2022,16:00,Bragantino,0,1,Fluminense,+144,+252,+179
2022,16:00,Ceara,4,1,Juventude,-149,+289,+407
2022,16:00,Corinthians,0,1,Atletico-MG,+204,+211,+148
2022,16:00,Cuiaba,2,1,Coritiba,-106,+241,+307
2022,16:00,Goias,0,4,Sao Paulo,+392,+283,-143
2022,16:00,Internacional,3,0,Palmeiras,+152,+246,+174
2022,16:00,Santos,0,2,Fortaleza,+229,+231,+124
2022,16:00,Flamengo RJ,1,2,Avai,-588,+658,+1488
2022,20:00,Atletico-MG,3,0,Cuiaba,-213,+320,+634
2022,20:00,Botafogo RJ,3,0,Santos,+121,+227,+240
2022,21:30,Atletico GO,1,1,Athletico-PR,+110,+243,+250
2022,21:30,Juventude,2,2,Flamengo RJ,+455,+279,-156
2022,21:30,Palmeiras,2,1,America MG,-192,+351,+465
2022,20:30,Fortaleza,6,0,Bragantino,-123,+260,+347
2022,19:00,Avai,2,0,Ceara,+308,+235,-104
2022,19:00,Coritiba,2,2,Corinthians,+186,+196,+174
2022,19:00,Fluminense,3,0,Goias,-270,+409,+683
2022,21:30,Sao Paulo,0,1,Internacional,-116,+252,+329
2022,20:00,Atletico-MG,0,2,Botafogo RJ,-161,+276,+498
2022,18:30,Cuiaba,1,1,Palmeiras,+269,+242,+104
2022,16:00,Coritiba,1,0,Flamengo RJ,+254,+231,+112
2022,16:00,Fortaleza,1,1,Atletico GO,-152,+287,+426
2022,21:00,Internacional,2,0,Athletico-PR,-114,+248,+334
2022,20:30,Corinthians,1,0,Ceara,-115,+229,+362
2022,19:00,Bragantino,1,4,America MG,+100,+250,+274
2022,19:00,Goias,1,0,Juventude,-147,+279,+428
2022,16:30,Fluminense,3,1,Sao Paulo,+106,+249,+263
2022,16:30,Santos,1,1,Avai,-256,+358,+785
2022,21:30,Flamengo RJ,1,2,Corinthians,-143,+268,+415
2022,21:30,Palmeiras,4,0,Fortaleza,-222,+359,+591
2022,19:00,Atletico GO,2,3,Santos,-103,+237,+301
2022,19:00,Avai,1,2,Bragantino,+242,+227,+120
2022,19:00,Juventude,0,1,Coritiba,+154,+218,+187
2022,16:00,America MG,1,0,Internacional,+139,+222,+210
2022,16:00,Athletico-PR,3,2,Goias,-169,+301,+480
2022,21:30,Sao Paulo,2,2,Atletico-MG,+152,+197,+213
2022,19:00,Botafogo RJ,0,2,Cuiaba,-116,+229,+373
2022,20:00,Ceara,0,1,Fluminense,+236,+222,+125
2022,19:30,Goias,0,0,Corinthians,+181,+200,+174
